"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"A1BG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2M",30695.1685844524,41151.2768191971,26298.6996467936,15023.6594160965,28046.2137949538,17637.8179829467,35000.3813080275,34340.7060383079,40241.695575608,23312.9907490434
"A4GALT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAAS",2001.38737645861,2098.61127683706,1813.60859817855,1655.24102306883,1774.89702289706,1773.89358246319,1878.66362420695,2023.98516619014,2122.99918122111,2355.26037119854
"AACS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAGAB",1797.47928710054,1461.8849979018,1840.71940144947,1816.12149703557,1483.92767502452,1412.14367120332,1267.78348800235,1744.91415273682,1766.74423560843,2395.77545563472
"AAK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAMDC",303.914267488016,284.202643849533,271.928790235079,293.643548180617,294.094948420707,379.0622965282,424.457943164188,347.752159954304,258.174050326561,288.163722250443
"AAMP",4903.64442470414,5518.72194919869,5564.63017267406,5350.82973807501,4924.97342568892,4938.7741288572,5258.23432162979,4935.93430950328,5251.58339434716,5503.16185290317
"AAR2",900.25446551594,983.271010418045,940.201551535628,771.888336385431,1037.26839008332,1091.27703550422,974.099849348012,885.060978465582,950.671338665904,1043.61540833101
"AARS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARSD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AASDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AASDHPPT",1155.54774327433,1125.7152660428,1186.18300347143,1605.7279590279,859.137141418111,823.106068370474,1064.03040148532,979.898990753746,1171.51617066489,1157.40443406044
"AASS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AATK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA2",7958.93415108686,10464.0060009661,6577.57982237653,7050.27096469183,7426.49295323999,9792.05446869934,10706.1401715796,10369.8473765657,11897.53605859,10095.027229079
"ABCA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCB6",150.877293352564,172.197470054721,161.012759587275,159.555153349835,164.684300349533,154.733062562068,155.202561167835,129.498882134706,116.334772693059,151.681480698753
"ABCB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCB8",1616.70056843005,1274.06536935323,1745.15474493219,1515.27719858063,1448.36684798014,1276.91701221586,1321.47709653594,1276.79605241447,1421.71483320531,1698.91867888108
"ABCB9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
